ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
hsa04610	hsa04610	Complement and coagulation cascades	11/124	79/7914	3.28194594965882e-08	6.17005838535858e-06	5.87295590991578e-06	C7/A2M/SERPIND1/C4BPA/C1QB/CR2/VSIG4/VWF/C1QC/FGA/FGG	11	pathway_KEGG	0.0887096774193548
hsa04512	hsa04512	ECM-receptor interaction	8/124	88/7914	6.52719860454851e-05	0.0061355666882756	0.00584012506722761	TNXB/COL6A6/COL4A3/ITGA9/COL4A4/VWF/ITGA2/TNC	8	pathway_KEGG	0.0645161290322581
hsa04510	hsa04510	Focal adhesion	11/124	199/7914	0.000272767283639869	0.0170934164414318	0.0162703291995712	RASGRF1/TNXB/COL6A6/COL4A3/ITGA9/COL4A4/VWF/FLNA/ITGA2/TNC/MET	11	pathway_KEGG	0.0887096774193548
hsa00590	hsa00590	Arachidonic acid metabolism	6/124	63/7914	0.000429259184275291	0.0201751816609387	0.0192037003491577	PTGDS/ALOX15B/ALOX15/PLA2G12B/AKR1C3/GPX2	6	pathway_KEGG	0.0483870967741935
hsa04640	hsa04640	Hematopoietic cell lineage	7/124	98/7914	0.000831860481585186	0.031277954107603	0.0297718488146277	CD1C/CD1E/MS4A1/CR2/CD14/IL2RA/ITGA2	7	pathway_KEGG	0.0564516129032258
hsa05133	hsa05133	Pertussis	6/124	76/7914	0.0011706436269015	0.0366801669762468	0.0349139327321499	SFTPA1/SFTPA2/C4BPA/C1QB/C1QC/CD14	6	pathway_KEGG	0.0483870967741935
GO:0006959	GO:0006959	humoral immune response	19/217	276/17913	1.16961867244408e-09	3.63400521528375e-06	3.07794387485284e-06	C7/MS4A1/A2M/SFTPD/DMBT1/EXO1/C4BPA/C1QB/CR2/VSIG4/LTF/CCL13/C1QC/FCN3/FGA/PI3/BPIFA2/PGC/BPIFA1	19	geneontology_Biological_Process	0.0875576036866359
GO:0030198	GO:0030198	extracellular matrix organization	19/217	334/17913	2.64733564064803e-08	4.11263591774672e-05	3.48333636927373e-05	ABI3BP/MFAP4/TNXB/A2M/NDNF/COL4A3/ITGA9/ELN/COL4A4/FBLN5/MYH11/VWF/FGA/SERPINB5/ADAM8/ITGA2/TNC/FGG/MMP13	19	geneontology_Biological_Process	0.0875576036866359
GO:0043062	GO:0043062	extracellular structure organization	20/217	387/17913	5.51232567032568e-08	5.7089319525673e-05	4.83537339502253e-05	ABI3BP/MFAP4/TNXB/A2M/NDNF/COL4A3/ITGA9/ELN/COL4A4/GPIHBP1/FBLN5/MYH11/VWF/FGA/SERPINB5/ADAM8/ITGA2/TNC/FGG/MMP13	20	geneontology_Biological_Process	0.0921658986175115
GO:0072376	GO:0072376	protein activation cascade	12/217	151/17913	3.15036860203205e-07	0.000244704881162839	0.000207261092238951	C7/A2M/C4BPA/C1QB/CR2/VSIG4/VWF/C1QC/APOH/FCN3/FGA/FGG	12	geneontology_Biological_Process	0.0552995391705069
GO:0002683	GO:0002683	negative regulation of immune system process	20/217	451/17913	6.39944679334423e-07	0.000339460968440265	0.000287517971677083	A2M/IL33/SFTPD/SCGB1A1/CLDN18/GAL/INHA/C4BPA/VSIG4/LTF/C1QC/FGL1/ALOX15/PDCD1LG2/APOD/CD14/IL2RA/CD274/ANXA1/AMBP	20	geneontology_Biological_Process	0.0921658986175115
GO:0016485	GO:0016485	protein processing	16/217	295/17913	6.55540975423749e-07	0.000339460968440265	0.000287517971677083	C7/LRRK2/CTSH/A2M/CYFIP2/TMPRSS2/CTSE/C4BPA/C1QB/CR2/VSIG4/C1QC/APOH/FGA/ADAM8/FGG	16	geneontology_Biological_Process	0.0737327188940092
