icgc.HCCDB18.risk.score	group
GSM773540	0.349185344851873	High
GSM773541	1.33342223361987	High
GSM773542	1.27266125740741	High
GSM773543	0.556392732399452	High
GSM773544	0.00837986920678324	High
GSM773545	-0.295461103960057	Low
GSM773546	1.58190202362785	High
GSM773547	-0.892420079102791	Low
GSM773548	1.24421695291389	High
GSM773549	-0.5329502725888	Low
GSM773550	0.0279140360608996	High
GSM773551	-0.375382252622106	Low
GSM773552	2.36357468189003	High
GSM773553	1.07486336179381	High
GSM773554	1.02122726075479	High
GSM773555	0.752235816990253	High
GSM773556	0.806784095531275	High
GSM773557	1.22471544896161	High
GSM773558	0.770371481212041	High
GSM773559	1.5692466029917	High
GSM773560	0.786731721450871	High
GSM773561	-0.567811396516153	Low
GSM773562	1.4577630327548	High
GSM773563	0.580843913818893	High
GSM773564	0.60581578477806	High
GSM773565	2.08520744899189	High
GSM773566	0.203320380771422	High
GSM773567	0.0765470211883211	High
GSM773568	0.706480345791146	High
GSM773569	-0.927508896588108	Low
GSM773570	-0.16848340788311	Low
GSM773571	0.378445031517468	High
GSM773572	0.637626673236317	High
GSM773573	2.24570269345375	High
GSM773574	0.825890795298296	High
GSM773575	1.03346905772244	High
GSM773576	-0.692737829629901	Low
GSM773577	-0.467566308264443	Low
GSM773578	0.799101662286661	High
GSM773579	0.901259216376916	High
GSM773580	-0.628899056901987	Low
GSM773581	1.89905252468725	High
GSM773582	0.745716812571442	High
GSM773583	0.377119066865925	High
GSM773584	-0.213851357979557	Low
GSM773585	0.490412102673682	High
GSM773586	0.883487769384936	High
GSM773587	1.10637077597853	High
GSM773588	0.121682221679315	High
GSM773589	0.901422158902188	High
GSM773590	-0.492621906503073	Low
GSM773591	1.55945373436102	High
GSM773592	0.935812492543874	High
GSM773593	0.889735020232212	High
GSM773594	-1.25198458829464	Low
GSM773595	-0.196413786315979	Low
GSM773596	-1.0594335410794	Low
GSM773597	0.794691196899774	High
GSM773598	0.0370419076951075	High
GSM773599	1.41732508260235	High
