Tag	p.value	HR	Low 95%CI	High 95%CI
CD1C	0.00185704088609172	0.789976273803087	0.680980179857119	0.916418027471443
CD1E	0.00226128851308149	0.786124558176252	0.673614881517418	0.917426021788132
ADH1B	0.00481258750597456	0.809500963578159	0.698893367942374	0.937613433023732
ABI3BP	0.0179578727375479	0.834559966069406	0.718467853084813	0.969410578323466
C7	0.00756105095304566	0.82372745296751	0.714475852608735	0.9496848833937
ADAMTS8	0.00214749306863205	0.778391379225803	0.663306670440151	0.913443458741332
ATP13A4	0.00057492936441633	0.768664942592565	0.661751580734927	0.89285135263999
PTGDS	0.0053183127399118	0.812989465220365	0.702836095393874	0.940406838651184
CHRDL1	0.00176775809160132	0.790686316214936	0.682446448395527	0.916093639463424
ACKR1	0.0583913519225215	0.874567815420687	0.761237088421775	1.00477088597387
RASGRF1	0.0241719911817666	0.830292725126274	0.706335103527524	0.976004174158605
MFAP4	0.0128115894531122	0.835702934895393	0.725555775463585	0.962571616146999
SCTR	0.059635112273104	0.866243284290072	0.746014920997132	1.0058477470862
SCN7A	0.00121383223032167	0.776454369196387	0.666122175843954	0.90506127750563
CFAP221	0.0258266784180047	0.845065013591707	0.728784167904981	0.979898999795315
HLF	0.000686826569891737	0.762699528498525	0.652275057033865	0.891817898751373
PIGR	0.00956508799253	0.827201480224228	0.716625636871618	0.954839254526611
INMT	0.0011095601590527	0.781445238093191	0.673799094910402	0.906288929075699
LRRK2	0.0440947961061616	0.861833943638916	0.745683369817303	0.996076587560464
MS4A1	0.00041924811436606	0.755010421906809	0.645867996692152	0.882596351123436
SPIB	0.0196133757360671	0.827798755098694	0.706305487432146	0.970190365410094
SELP	0.0573334799896036	0.875060623366104	0.762554535313907	1.00416568141013
CLIC5	0.0227291738756966	0.8414367446963	0.725286528112677	0.976187710486624
CTSH	0.000535570360755633	0.75780126096462	0.647698987207987	0.886619807134518
FCER1A	0.015920386973497	0.83238369288123	0.717043381366736	0.966277118204407
TNXB	0.152673697582173	0.893190907415865	0.765095122817794	1.04273308415844
METTL7A	0.000173245713968868	0.744004965550613	0.637596440687271	0.868172018286834
COL6A6	0.00469586275442828	0.790090540622852	0.671028231775709	0.930278388928297
A2M	0.0455011629790616	0.869355729446358	0.757900053583021	0.997201914352973
SLC34A2	0.000587602700431017	0.787929591578341	0.687802269489248	0.902633022344972
TCF21	0.00906446943649762	0.808699260668491	0.689493233094257	0.948514739253953
MGP	0.00439398599314377	0.817940820846488	0.712305658969184	0.939241711732589
SFTPC	0.00520504840179424	0.814407832663261	0.705179723131535	0.94055472122467
MAMDC2	0.0134100489754477	0.830297321589884	0.716497406425258	0.962171860019496
PBK	2.28975207850509e-05	1.36046685532097	1.17980683478561	1.56879076290762
LAMP3	0.0932508742470826	0.884327885938328	0.76607993745528	1.02082794707544
IL33	0.015938340391875	0.834840810960506	0.720867447702792	0.966834030120537
GFRA1	0.00484645780337728	0.782285989332859	0.659439563607906	0.92801736941334
SUSD2	0.00370887337682395	0.804883845176976	0.695128525883256	0.931968664936757
ABCA8	0.00336053593055326	0.78778909926137	0.671705285647069	0.923934466761253
