T_cells	CD8_T_cells	Cytotoxic_lymphocytes	B_lineage	NK_cells	Monocytic_lineage	Myeloid_dendritic_cells	Neutrophils	Endothelial_cells	Fibroblasts
TCGA-MP-A4T4-01A	3.5811119050386	3.76512093763619	2.76114279793926	3.00557066118695	0.952504877493479	4.55856762642549	3.06698343778295	2.14935962485667	2.75756077260651	7.41425789209223
TCGA-05-4250-01A	2.6915403952337	3.87394531322908	2.17336067904872	1.4692278699939	0.54127944303833	4.13576036483982	1.99578830921432	2.35795572869703	3.01544049610149	7.75627771060456
TCGA-64-5774-01A	2.29119951353821	5.10732056319497	0.80856076125305	2.25371600371784	2.04484801766465	2.33326832772164	0.89226208307073	2.92142059062339	3.09361049829842	6.48323674112625
TCGA-97-7937-01A	1.41065898609473	0.625150344822222	0.598142974043254	1.3439080373782	0.256181866096843	3.28372385944862	1.82338753306607	2.11856970563119	2.49143837093918	6.14873341776557
TCGA-97-A4M6-01A	3.71137416482981	2.81505946216834	1.77981016397238	3.98058874779592	0.470099146219491	4.433315459553	4.57566632813946	3.26679827271586	3.3040803280325	6.62358360876581
TCGA-44-A4SU-01A	2.66764354160325	1.55112930369128	1.02815789815119	4.04730587725459	0.238438206428261	3.0102241192584	3.22687861756521	2.25412718733498	2.85076810912801	6.42548424166836
TCGA-78-7155-01A	1.86164447136234	2.38723560529243	1.50557995947638	0.879066615210181	0.167014208657837	3.23998931189212	1.29170859167967	1.32681573409065	2.49616912145743	5.28991539874608
TCGA-78-7163-01A	1.61273596636948	2.09799038526785	1.1917932311137	1.57423609777471	0.185330312423899	1.8848821323387	1.98735306199322	2.51774097162564	1.93423942355468	2.81616712598627
TCGA-55-7574-01A	4.0412000857915	3.61590722914818	2.38443373664682	5.35369718901053	0.944574129582924	4.21279446582526	2.88331261495704	2.61799670953384	4.316330749881	7.88191520423669
TCGA-78-7535-01A	1.16792593811817	0.896878792240363	0.897932877945678	0.578564015853898	0.215613665520695	3.56714206840054	3.71589324736311	2.24254265565911	2.41967588697291	5.1488660133982
TCGA-55-8619-01A	3.08356390679847	3.26785916042931	2.12251324254547	3.95780664163877	0.667576512959835	4.13075346652841	3.04949121449266	3.31337559818061	3.92153987188925	6.02515115638157
TCGA-95-7567-01A	2.76650393707382	2.4052918014918	1.44634918529364	2.36481564385703	0.289164982227727	3.93044846436125	2.26396447358646	1.96373517879347	2.9641585449091	6.46929920490396
TCGA-44-7670-01A	2.04962738727729	3.9940976681551	1.1440428938836	2.63253481537213	0.253141759005424	3.9971373120679	1.98095805393159	2.63897688533781	3.65218643963931	6.01221157997778
TCGA-NJ-A7XG-01A	1.52152400912521	0.709335616301105	0.874115189954805	1.70868239570047	0.201363792326616	2.1088687319973	2.75952605741357	2.71847901809954	2.58176647992108	4.60013619262462
TCGA-44-8117-01A	1.93376040230841	1.43731027984797	1.12997468694551	1.7743750273819	0.444669405767998	3.73488318349075	1.68751781371312	2.34941758476616	3.50961433527354	6.76488281654758
TCGA-62-8402-01A	3.38119132867381	5.30773882911401	1.90623700450737	1.62249016152316	0.412188094582343	4.26793577685906	2.28403102239196	2.52383231867805	2.63744923582199	5.01329995547424
TCGA-49-4507-01A	2.49229677642275	3.97036056397725	2.56409990024212	1.49801797166727	1.48031491347363	3.74102063703796	1.67889376328819	2.24464855625672	2.12877977845277	5.61853754249488
TCGA-J2-A4AD-01A	1.73137032720609	1.31254044461278	0.774575926311611	1.10763859714868	0.231967252320783	3.20048338030067	1.40625614747076	2.398145344003	2.84196147567249	6.66164747507582
TCGA-55-A490-01A	2.12036594396217	1.33101136072812	0.769664810519945	1.6170635082741	0.158668037697003	3.62947199215965	2.84993443144053	1.9650670837992	2.85962421540807	6.4886484938112
TCGA-67-3770-01A	2.49605287765048	2.55692349221316	1.20027791439911	1.06966380974679	0.237836575426165	3.77738388091854	3.84475255215677	2.22144088460896	2.73067542544132	5.57608620593031
TCGA-55-A48Y-01A	1.85271029774255	1.53198162793931	1.1904370317856	1.8728031071062	0.382615946109542	3.12379575719688	1.56235111722807	2.44213368054208	3.38354557233635	7.52346986473432
TCGA-44-3918-01A	3.21756579556893	3.78480623600809	2.53642439859968	2.63804626414261	1.03197845534579	4.78521501769372	2.74039551629012	2.12443276388567	2.93197758300453	6.68707509458436
TCGA-05-4249-01A	2.42172330433439	2.16176881456702	1.11885193735751	3.02802234870195	0.38067863160513	4.38895283982945	5.24567487927155	3.00194100567047	3.46278810776917	6.31903908598594
TCGA-67-4679-01B	2.14708492029387	2.37647415488009	1.19734334594689	2.0378315909771	0.326959528620338	3.73729698366017	4.32699292149552	3.22114693033482	4.05497000635263	5.97031650474893
TCGA-55-A494-01A	1.61179541043204	3.54286271181037	0.556279256111903	0.832491466716857	0.114530163865423	2.11063111003835	1.82443421566918	2.33946437724285	3.29767158097902	5.83568067046544
TCGA-64-5778-01A	3.50453974732192	4.7869044068164	2.16062663294523	3.39581336518494	0.52219067543903	3.71306679089765	2.70069685092649	2.09071900816821	2.23520919462917	5.16290093415679
TCGA-49-AARQ-01A	1.97257060292629	3.76830011074065	1.44035320832286	1.38015213037042	0.921641242917066	2.54601831746872	2.22002274368312	1.79061909743022	1.31684072547121	4.29497174890036
TCGA-95-8494-01A	1.72745973821096	0.854688671704343	0.957076699545264	0.902571513128919	0.187195828357315	3.6509237284776	4.33166446271355	2.08265554613523	2.53722605993795	6.23732320403413
TCGA-55-7726-01A	1.59442404008337	0.816601737238373	0.860679072764623	1.52099745617768	0.267366951712832	3.59011463060609	3.4268823816399	2.32938439785567	3.01066540580444	8.20219313285643
TCGA-78-8660-01A	3.16805838665677	3.15063561831311	2.20844561906177	2.83518435095726	0.762530524604502	4.8292837816232	3.12299567838209	2.52075566554761	3.40750457229074	6.29879506169249
TCGA-49-4490-01A	2.27405131015309	1.93391582602571	0.926138829522083	1.96287261083176	0.131203011768146	2.73064074401859	2.24266657954912	2.1092442549042	3.41085013532174	6.84025578885688
TCGA-J2-8194-01A	1.83324333156493	1.14481661666926	0.937189408897445	1.70961779667254	0.294128614593341	4.69956948073458	4.04809816682949	3.60249662421481	4.13874744902934	6.84295344816543
TCGA-44-2659-01A	2.7533253617139	3.41382576242662	1.70269612827951	2.6848614140502	0.58797428076429	3.75481153687878	2.78810679347743	2.54066737419488	3.48275029302906	6.55920311740624
TCGA-78-7633-01A	1.23686237735041	0.602016922141703	0.785701907568316	0.719405437034229	0.198319976934552	2.85001773407187	2.25498219519993	2.82102364781448	4.59299851234935	4.9364944863767
TCGA-55-8299-01A	3.46221044448061	4.51477370496814	3.09748756501559	3.2229350944763	1.33343516372493	5.0524384377507	2.52205473128106	3.1245030572342	4.57308878121246	8.18652801128256
TCGA-67-6217-01A	3.1706385008997	3.21830079124509	1.60833009559587	3.53899914791105	0.474348378660091	3.69616970815212	4.48920461020862	2.50395481424406	3.34780296770847	6.18252953174668
TCGA-67-3774-01A	3.03046744990847	2.09880929140719	1.65555637855099	2.68713960176134	0.532024581359087	3.88934337366327	3.2404521874024	3.13911574607479	3.65920283878711	6.12117627084381
TCGA-MP-A4T6-01A	3.00580980984281	2.23564006350985	1.5437623401314	3.06738564936366	0.197315401143669	3.56007331463362	2.82105513120446	2.88524825888929	2.83974670834275	4.93096402605979
TCGA-50-5942-01A	2.34994703954092	2.16624876863847	1.17331750575217	2.3831970379349	0.229087080888076	2.75044519913632	3.09424062875614	2.81128481710439	3.72598248417924	5.67448740860019
TCGA-55-A48Z-01A	2.70912036221209	2.72747778805559	1.4035951762315	2.16557962739878	0.341921043827499	3.69984060246866	3.15001247392567	2.13063291398579	2.9041247703793	7.54242641905793
TCGA-99-AA5R-01A	3.588071205756	3.68856143468056	2.84170156378799	4.71810380339666	1.09620982730637	4.01677185825886	4.14440376184074	2.71920314510087	5.03067231435528	6.49993757030985
TCGA-86-8280-01A	3.56685582549042	2.72879542155534	1.55994721461785	3.52229430530285	0.378601633818662	4.32783250618953	4.44845094587279	2.69490855228637	3.96185905006916	7.20617150570405
TCGA-83-5908-01A	3.96143842005883	5.19678674597094	3.58609262502909	2.16087530884725	1.74800758521604	4.9700559503962	2.8428226450442	2.27226697955659	3.19810608487463	7.48722480798665
TCGA-78-7146-01A	2.04190749792197	1.88882987353933	1.19329118931499	0.931324466698075	0.298580384400813	4.2679335668275	2.1820804911824	2.2719418937244	2.54469469232796	6.34941269863741
TCGA-95-7948-01A	1.58941458319062	1.94005116597986	0.857443747371124	1.64965798950232	0.157856615017732	2.74454468928574	2.68865474101891	2.2387969364306	2.37146448225497	6.55551120184333
TCGA-55-7570-01A	2.11219929563836	4.87349111563551	1.39265779082916	1.65212605877205	0.212980141452445	2.92833953615464	1.06306043069588	2.08537926675225	2.46075483455713	6.32868619215065
TCGA-50-5072-01A	2.10392410055192	1.50991641391223	1.03908045222661	1.76342736582574	0.421241965413523	3.50255784050732	1.85340098703447	3.1239871068572	3.31390478103879	7.02949325979974
TCGA-91-8499-01A	2.64504218047069	2.36647303621977	1.7935407306917	1.74061147231521	0.464409329703937	4.28441326244226	1.68761625343089	1.83407829099021	3.52833047635302	6.06844004495569
TCGA-49-AAQV-01A	2.77768657815787	2.50317388347005	1.23229814076421	3.99644682207957	0.246133463744221	3.37859117990813	3.09024693978623	2.37560906930636	2.54934749597823	5.70475819147037
TCGA-86-8671-01A	4.56191730079848	4.38441876486461	2.84216559555279	5.13898906337616	0.911995167922341	4.94827370592829	4.75274280281947	2.67373035537494	4.02763903316715	7.59140328318724
TCGA-91-6829-01A	1.75500139714999	2.34927590819008	1.27052315296906	2.0399482428085	0.531676698119817	4.54152599563008	2.24864045084185	2.35026277353299	4.08457052665089	9.37155050364133
TCGA-05-5428-01A	1.58639983565623	2.28118616931665	0.977114719403299	0.848479385612379	0.11587720265177	3.58029905549316	2.83928263506894	2.21932462581338	2.34906300716453	5.75360341516701
