B_cell	T_cell_CD4	T_cell_CD8	Neutrophil	Macrophage	DC
TCGA-MP-A4T4-01A	0.0825181304744224	0.16254153537157	0.197413378673993	0.144553308225069	0.052760107551025	0.543577629381474
TCGA-05-4250-01A	0.0605816714201513	0.130948221154641	0.203583348590107	0.147715846474436	0.067044648972531	0.520754829661686
TCGA-64-5774-01A	0.0635204921415335	0.121128895235417	0.120698572207584	0.105588085106135	0.0243837788064573	0.417451544803548
TCGA-97-7937-01A	0.0420184960109723	0.0997758656534229	0.146268078129779	0.102260784954842	0.0559862149098461	0.43500250214971
TCGA-97-A4M6-01A	0.0958655924573579	0.191349623218974	0.171962029298961	0.151841046890214	0.0548189517639113	0.547906208267934
TCGA-44-A4SU-01A	0.102783984535513	0.157647784863241	0.127078354693143	0.111248383672961	0.0240278944257837	0.473413184213662
TCGA-78-7155-01A	0.0422317280687377	0.0895329969416725	0.1802963129176	0.0940858001199256	0.0654966699193732	0.416179802945585
TCGA-78-7163-01A	0.0769563217653886	0.105967343573829	0.148037464673504	0.0865438267150084	0.00704712795428747	0.442406313040285
TCGA-55-7574-01A	0.130969817561237	0.188625185695641	0.206971857430081	0.144486869415069	0.0706996422993668	0.524499824424678
TCGA-78-7535-01A	0.0463738616956468	0.123901978045724	0.105272215696536	0.112836724358659	0.0553945355563044	0.45536960014883
TCGA-55-8619-01A	0.0938319198069575	0.163440445217008	0.187070322137992	0.146292584836177	0.0746113388215795	0.519891915364439
TCGA-95-7567-01A	0.0734207357038746	0.142353209067972	0.146222598326585	0.120345236729088	0.0384834939256166	0.49642194854963
TCGA-44-7670-01A	0.0778755888956536	0.116726938627905	0.153971609539732	0.118751931159334	0.0485768398255905	0.477397860756198
TCGA-NJ-A7XG-01A	0.0567971936962052	0.138983354997951	0.088809104544289	0.0873376112804643	0.00975725206953211	0.429502718540958
TCGA-44-8117-01A	0.0450323949785448	0.128664807837554	0.157104468524775	0.110972506016721	0.0666389268864253	0.46661547499849
TCGA-62-8402-01A	0.0528274194708607	0.16725356675353	0.167943189239672	0.151305631800265	0.0350507912549798	0.509734870658116
TCGA-49-4507-01A	0.0676391750480178	0.107425270204319	0.208332574130359	0.117658374148131	0.030405423185355	0.478928454842568
TCGA-J2-A4AD-01A	0.0540505291438917	0.0983599064770633	0.130695023476322	0.10713730547132	0.0523457994111179	0.431319164489469
TCGA-55-A490-01A	0.0562740835244139	0.124184211464804	0.11953495567136	0.100447663823953	0.0430105508226489	0.474043557796003
TCGA-67-3770-01A	0.0460379450762081	0.0951701418827815	0.204530170548779	0.120795359935822	0.057128398894185	0.501797614529701
TCGA-55-A48Y-01A	0.0647677794090505	0.118174664065072	0.141563412973658	0.109617478125393	0.030753779779571	0.458961553203811
TCGA-44-3918-01A	0.0836024136908663	0.113525269943223	0.228511495527474	0.150124801409784	0.0637728503833996	0.511831571854183
TCGA-05-4249-01A	0.0847923228526616	0.160094700639187	0.14196849328642	0.1391044414217	0.0551555863063809	0.541640774885446
TCGA-67-4679-01B	0.0559681816017413	0.146849893823334	0.158547790962123	0.134041935344937	0.0578869769714192	0.500294654918997
TCGA-55-A494-01A	0.0372722923803433	0.123836271837593	0.0944557644453032	0.0769664828923818	0.0394616291441698	0.381600081454257
TCGA-64-5778-01A	0.106111487819854	0.127819965506503	0.215867313970678	0.129475912166158	0.0426108078115744	0.521174712377553
TCGA-49-AARQ-01A	0.0570448447883977	0.103366927723874	0.140673221227924	0.0981582677970878	0.028680632686774	0.407902154973257
TCGA-95-8494-01A	0.0486068066869608	0.148322197391732	0.0946822623508715	0.133700010212423	0.0178445828987247	0.53507500097897
TCGA-55-7726-01A	0.0547763900830928	0.111562285456436	0.157522093434676	0.133703765936104	0.0457846939960312	0.5033361756444
TCGA-78-8660-01A	0.0755094384108582	0.157478944413548	0.190751302575204	0.132436545231847	0.0551956263902427	0.523200662822646
TCGA-49-4490-01A	0.0552135466094342	0.136720538229452	0.141695458971235	0.109083133606754	0.0390497254868263	0.471359000168663
TCGA-J2-8194-01A	0.0458566845840933	0.135634597281547	0.155769666011699	0.147312300274747	0.0644562420971909	0.488597212872958
TCGA-44-2659-01A	0.0822156104510235	0.139708924491076	0.195821339143359	0.113169237830024	0.0464573735933061	0.501087597887141
TCGA-78-7633-01A	0.0393429678642136	0.105552427446239	0.140307003272087	0.0911650976120363	0.039728746077764	0.419909816169804
TCGA-55-8299-01A	0.0703625965271043	0.158762441870918	0.222040330338658	0.160843445794947	0.0613822693111476	0.543671422495236
TCGA-67-6217-01A	0.0958438952169597	0.153822368361013	0.184302022966517	0.124412320953494	0.0462801417137691	0.52233241139578
TCGA-67-3774-01A	0.0803876998687448	0.145930936530875	0.190605082964676	0.132479789219025	0.0647785981209725	0.506389582484117
TCGA-MP-A4T6-01A	0.0794167320487167	0.167733291236552	0.15234060044716	0.122652753882693	0.0301298835931515	0.50225665512818
TCGA-50-5942-01A	0.0834997665607029	0.150172762678416	0.16950092595338	0.108212843395812	0.0485390213704068	0.480476150011144
TCGA-55-A48Z-01A	0.0794888271376462	0.144456959538033	0.138173751561925	0.125478058441833	0.0433256590788392	0.506824362258546
TCGA-99-AA5R-01A	0.108339854599423	0.169355617071433	0.212582229844736	0.14787557320194	0.0634433485760526	0.529953777632429
TCGA-86-8280-01A	0.088201012537727	0.180783620335284	0.176137912151402	0.141373011289591	0.0548998334049585	0.54911190431212
TCGA-83-5908-01A	0.0695195628932133	0.161653853734559	0.242393254517103	0.169862060313145	0.0593323574739406	0.549464002598344
TCGA-78-7146-01A	0.0484553166563046	0.111359395476746	0.163466704229541	0.128119017521988	0.0366632821622586	0.515154941445404
TCGA-95-7948-01A	0.0713545766679146	0.102383192697097	0.160678010526261	0.103542859364211	0.0508463875429138	0.450850211122163
TCGA-55-7570-01A	0.0731176780330494	0.0822267353525478	0.170096405342549	0.093226783595202	0.0483691822394735	0.411142921362485
TCGA-50-5072-01A	0.0503152309885319	0.131533450997111	0.138936567205951	0.12262350791944	0.0536790247423158	0.471050695207246
TCGA-91-8499-01A	0.0799845007782721	0.0998483896578307	0.183405638577521	0.128605170842554	0.0694444314015325	0.473470760949935
TCGA-49-AAQV-01A	0.0886574641593321	0.160989919877409	0.126078735789956	0.118647737330196	0.0275830531096205	0.479515125265337
TCGA-86-8671-01A	0.122326402193925	0.204211913904172	0.220006184492789	0.162761567321832	0.0685530074166227	0.585765683462527
TCGA-91-6829-01A	0.0520345125912039	0.126733872046808	0.174489083799246	0.132120904287237	0.10970910401599	0.479010328994016
TCGA-05-5428-01A	0.0386652124621988	0.056994936556857	0.175697397117234	0.123503321104913	0.0539070494744704	0.454531912624848
TCGA-91-8497-01A	0.129450432389067	0.183219731234128	0.161234927294251	0.129209086721178	0.0574511267966858	0.536403696071343
TCGA-78-7145-01A	0.0466008098922096	0.139668725402441	0.112675180911433	0.130870696820131	0.0486566982421617	0.516264599393874
TCGA-69-7973-01A	0.0778290597400863	0.129401176218154	0.160332456120492	0.115703252894726	0.0744479178970204	0.447930250825218
