Samples	Subtype
TCGA-05-4249-01A	C1
TCGA-05-4250-01A	C2
TCGA-05-4382-01A	C2
TCGA-05-4384-01A	C1
TCGA-05-4389-01A	C1
TCGA-05-4390-01A	C3
TCGA-05-4396-01A	C3
TCGA-05-4397-01A	C2
TCGA-05-4398-01A	C2
TCGA-05-4402-01A	C1
TCGA-05-4403-01A	C1
TCGA-05-4405-01A	C1
TCGA-05-4415-01A	C3
TCGA-05-4417-01A	C1
TCGA-05-4418-01A	C3
TCGA-05-4420-01A	C3
TCGA-05-4422-01A	C1
TCGA-05-4424-01A	C1
TCGA-05-4425-01A	C1
TCGA-05-4426-01A	C2
TCGA-05-4427-01A	C1
TCGA-05-4430-01A	C1
TCGA-05-4432-01A	C3
TCGA-05-4433-01A	C1
TCGA-05-4434-01A	C1
TCGA-05-5420-01A	C1
TCGA-05-5423-01A	C1
TCGA-05-5425-01A	C2
TCGA-05-5428-01A	C3
TCGA-05-5429-01A	C3
TCGA-05-5715-01A	C3
TCGA-35-4122-01A	C2
TCGA-35-4123-01A	C2
TCGA-35-5375-01A	C3
TCGA-38-4625-01A	C2
TCGA-38-4626-01A	C1
TCGA-38-4627-01A	C1
TCGA-38-4628-01A	C2
TCGA-38-4629-01A	C2
TCGA-38-4630-01A	C2
TCGA-38-4631-01A	C3
TCGA-38-4632-01A	C2
TCGA-38-6178-01A	C1
TCGA-38-7271-01A	C1
TCGA-38-A44F-01A	C1
TCGA-44-2655-01A	C1
TCGA-44-2656-01A	C1
TCGA-44-2656-01B	C1
TCGA-44-2657-01A	C1
TCGA-44-2659-01A	C1
TCGA-44-2661-01A	C1
TCGA-44-2662-01A	C2
TCGA-44-2662-01B	C2
TCGA-44-2665-01A	C2
TCGA-44-2666-01A	C3
TCGA-44-2666-01B	C1
TCGA-44-2668-01A	C2
TCGA-44-2668-01B	C2
TCGA-44-3396-01A	C1
TCGA-44-3398-01A	C1
TCGA-44-3917-01A	C3
TCGA-44-3917-01B	C3
TCGA-44-3918-01A	C1
TCGA-44-3918-01B	C1
TCGA-44-3919-01A	C1
TCGA-44-4112-01A	C2
TCGA-44-4112-01B	C1
TCGA-44-5643-01A	C2
TCGA-44-5644-01A	C3
TCGA-44-5645-01A	C1
TCGA-44-5645-01B	C1
TCGA-44-6145-01A	C1
TCGA-44-6146-01A	C3
TCGA-44-6146-01B	C3
TCGA-44-6147-01A	C1
TCGA-44-6147-01B	C1
TCGA-44-6148-01A	C1
TCGA-44-6774-01A	C2
TCGA-44-6775-01A	C1
TCGA-44-6775-01C	C1
TCGA-44-6776-01A	C3
TCGA-44-6777-01A	C1
TCGA-44-6778-01A	C1
TCGA-44-6779-01A	C2
TCGA-44-7659-01A	C1
TCGA-44-7660-01A	C3
TCGA-44-7661-01A	C1
TCGA-44-7662-01A	C2
TCGA-44-7667-01A	C3
TCGA-44-7669-01A	C1
TCGA-44-7670-01A	C3
TCGA-44-7671-01A	C3
TCGA-44-7672-01A	C1
TCGA-44-8117-01A	C2
TCGA-44-8119-01A	C3
TCGA-44-8120-01A	C1
TCGA-44-A479-01A	C1
TCGA-44-A47A-01A	C1
TCGA-44-A47B-01A	C1
TCGA-44-A47G-01A	C1
TCGA-44-A4SS-01A	C2
TCGA-44-A4SU-01A	C1
TCGA-49-4486-01A	C3
TCGA-49-4487-01A	C1
TCGA-49-4488-01A	C1
TCGA-49-4490-01A	C2
TCGA-49-4494-01A	C2
TCGA-49-4501-01A	C1
TCGA-49-4505-01A	C1
TCGA-49-4506-01A	C3
TCGA-49-4507-01A	C3
TCGA-49-4510-01A	C3
TCGA-49-4512-01A	C1
TCGA-49-4514-01A	C3
TCGA-49-6742-01A	C3
TCGA-49-6743-01A	C2
TCGA-49-6744-01A	C1
TCGA-49-6745-01A	C1
TCGA-49-6761-01A	C2
TCGA-49-6767-01A	C2
TCGA-49-AAQV-01A	C1
TCGA-49-AAR0-01A	C1
TCGA-49-AAR2-01A	C3
TCGA-49-AAR3-01A	C2
TCGA-49-AAR4-01A	C1
TCGA-49-AAR9-01A	C3
TCGA-49-AARE-01A	C3
TCGA-49-AARN-01A	C1
TCGA-49-AARO-01A	C1
TCGA-49-AARQ-01A	C3
TCGA-49-AARR-01A	C1
TCGA-4B-A93V-01A	C3
TCGA-50-5044-01A	C2
TCGA-50-5045-01A	C1
TCGA-50-5049-01A	C1
TCGA-50-5051-01A	C3
TCGA-50-5055-01A	C1
TCGA-50-5066-01A	C2
TCGA-50-5068-01A	C1
TCGA-50-5072-01A	C3
TCGA-50-5930-01A	C3
TCGA-50-5931-01A	C3
TCGA-50-5932-01A	C3
TCGA-50-5933-01A	C2
TCGA-50-5935-01A	C1
TCGA-50-5936-01A	C3
TCGA-50-5939-01A	C2
TCGA-50-5941-01A	C1
TCGA-50-5942-01A	C1
TCGA-50-5944-01A	C1
TCGA-50-5946-01A	C3
TCGA-50-6590-01A	C2
TCGA-50-6591-01A	C3
TCGA-50-6592-01A	C2
TCGA-50-6593-01A	C1
TCGA-50-6594-01A	C2
TCGA-50-6595-01A	C2
TCGA-50-6597-01A	C1
TCGA-50-7109-01A	C3
TCGA-50-8457-01A	C1
TCGA-50-8459-01A	C1
TCGA-50-8460-01A	C1
TCGA-53-7624-01A	C3
TCGA-53-7626-01A	C1
TCGA-53-7813-01A	C3
TCGA-53-A4EZ-01A	C3
TCGA-55-1592-01A	C1
TCGA-55-1594-01A	C3
TCGA-55-1596-01A	C3
TCGA-55-5899-01A	C3
TCGA-55-6543-01A	C1
TCGA-55-6642-01A	C3
TCGA-55-6712-01A	C1
TCGA-55-6968-01A	C2
TCGA-55-6970-01A	C3
TCGA-55-6971-01A	C1
TCGA-55-6972-01A	C3
TCGA-55-6975-01A	C3
TCGA-55-6978-01A	C2
TCGA-55-6979-01A	C1
TCGA-55-6980-01A	C1
TCGA-55-6981-01A	C1
TCGA-55-6982-01A	C2
TCGA-55-6983-01A	C1
TCGA-55-6984-01A	C3
TCGA-55-6985-01A	C1
TCGA-55-6986-01A	C1
TCGA-55-6987-01A	C1
TCGA-55-7227-01A	C1
TCGA-55-7281-01A	C1
TCGA-55-7283-01A	C1
TCGA-55-7284-01B	C1
TCGA-55-7570-01A	C3
TCGA-55-7573-01A	C1
TCGA-55-7574-01A	C1
TCGA-55-7576-01A	C1
TCGA-55-7724-01A	C1
TCGA-55-7725-01A	C1
TCGA-55-7726-01A	C2
TCGA-55-7727-01A	C1
TCGA-55-7728-01A	C1
TCGA-55-7815-01A	C3
TCGA-55-7816-01A	C1
TCGA-55-7903-01A	C1
TCGA-55-7907-01A	C2
TCGA-55-7910-01A	C3
TCGA-55-7911-01A	C1
TCGA-55-7913-01B	C3
TCGA-55-7914-01A	C1
TCGA-55-7994-01A	C1
TCGA-55-7995-01A	C1
TCGA-55-8085-01A	C2
TCGA-55-8087-01A	C1
TCGA-55-8089-01A	C1
TCGA-55-8090-01A	C1
TCGA-55-8091-01A	C1
TCGA-55-8092-01A	C2
TCGA-55-8094-01A	C3
TCGA-55-8096-01A	C2
TCGA-55-8097-01A	C1
TCGA-55-8203-01A	C3
TCGA-55-8204-01A	C2
TCGA-55-8205-01A	C1
TCGA-55-8206-01A	C1
TCGA-55-8207-01A	C1
TCGA-55-8208-01A	C1
TCGA-55-8299-01A	C1
TCGA-55-8301-01A	C1
TCGA-55-8302-01A	C2
TCGA-55-8505-01A	C3
TCGA-55-8507-01A	C3
TCGA-55-8508-01A	C3
TCGA-55-8510-01A	C1
TCGA-55-8511-01A	C1
TCGA-55-8512-01A	C1
TCGA-55-8513-01A	C1
TCGA-55-8514-01A	C1
TCGA-55-8614-01A	C1
TCGA-55-8615-01A	C3
TCGA-55-8616-01A	C1
TCGA-55-8619-01A	C1
TCGA-55-8620-01A	C3
TCGA-55-8621-01A	C1
TCGA-55-A48X-01A	C1
TCGA-55-A48Y-01A	C3
TCGA-55-A48Z-01A	C1
TCGA-55-A490-01A	C2
TCGA-55-A491-01A	C2
TCGA-55-A492-01A	C3
TCGA-55-A494-01A	C3
TCGA-55-A4DF-01A	C1
TCGA-55-A4DG-01A	C1
TCGA-55-A57B-01A	C1
TCGA-62-8394-01A	C2
TCGA-62-8395-01A	C1
TCGA-62-8397-01A	C1
TCGA-62-8398-01A	C3
TCGA-62-8399-01A	C2
TCGA-62-8402-01A	C2
TCGA-62-A46O-01A	C3
TCGA-62-A46P-01A	C3
TCGA-62-A46R-01A	C1
TCGA-62-A46S-01A	C3
TCGA-62-A46V-01A	C2
TCGA-62-A46Y-01A	C1
TCGA-62-A470-01A	C3
TCGA-62-A471-01A	C3
TCGA-62-A472-01A	C1
TCGA-64-1676-01A	C2
TCGA-64-1677-01A	C2
TCGA-64-1678-01A	C3
TCGA-64-1679-01A	C2
TCGA-64-1680-01A	C1
TCGA-64-1681-01A	C1
TCGA-64-5774-01A	C3
TCGA-64-5775-01A	C2
TCGA-64-5778-01A	C1
TCGA-64-5779-01A	C2
TCGA-64-5781-01A	C3
TCGA-64-5815-01A	C1
TCGA-67-3770-01A	C1
TCGA-67-3771-01A	C2
TCGA-67-3772-01A	C1
TCGA-67-3773-01A	C1
TCGA-67-3774-01A	C1
TCGA-67-4679-01B	C1
TCGA-67-6215-01A	C1
TCGA-67-6216-01A	C1
TCGA-67-6217-01A	C1
TCGA-69-7760-01A	C3
TCGA-69-7761-01A	C1
TCGA-69-7763-01A	C3
TCGA-69-7764-01A	C1
TCGA-69-7765-01A	C1
TCGA-69-7973-01A	C3
TCGA-69-7974-01A	C1
TCGA-69-7978-01A	C1
TCGA-69-7979-01A	C3
TCGA-69-7980-01A	C1
TCGA-69-8253-01A	C3
TCGA-69-8254-01A	C1
TCGA-69-8255-01A	C3
TCGA-69-8453-01A	C1
TCGA-69-A59K-01A	C1
TCGA-71-6725-01A	C3
TCGA-71-8520-01A	C2
TCGA-73-4658-01A	C1
TCGA-73-4659-01A	C3
TCGA-73-4662-01A	C1
TCGA-73-4666-01A	C2
TCGA-73-4668-01A	C2
TCGA-73-4670-01A	C3
TCGA-73-4675-01A	C3
TCGA-73-4676-01A	C2
TCGA-73-4677-01A	C3
TCGA-73-7498-01A	C1
TCGA-73-7499-01A	C1
TCGA-73-A9RS-01A	C3
TCGA-75-5125-01A	C1
TCGA-75-5146-01A	C1
TCGA-75-5147-01A	C1
TCGA-75-6206-01A	C1
