p.value	HR	Low 95%CI	High 95%CI
DKK1	1.79214197807305e-09	1.49406147655343	1.31086184260985	1.70286419450336
GPI	9.04855802859548e-06	1.3975847517108	1.20554999251208	1.62020915793332
PSMD2	1.15857464294832e-05	1.39127671655082	1.20037096482287	1.61254392078872
ADM	9.49814342483241e-06	1.38738057150631	1.20021706174462	1.60373061802279
VEGFC	1.00599928554848e-06	1.38401199986355	1.21499596971109	1.57653956351952
S100A16	0.000362112863283529	1.35724971487591	1.14749789602631	1.60534219270454
BIRC5	7.60842929085991e-05	1.35582832144183	1.16603582191638	1.57651283320144
ANGPTL4	5.93903398789227e-05	1.3557551671878	1.16858187380174	1.57290825278389
MIF	0.00133017340431384	1.35295628923406	1.12488772336335	1.62726526617691
MIF.1	0.00133017340431384	1.35295628923406	1.12488772336335	1.62726526617691
SHC1	3.82067439822351e-05	1.35096838809897	1.17075366863697	1.55892365280188
PSMD11	8.65103404837014e-05	1.34403972510096	1.15957536649346	1.55784853218477
HSPA4	0.000126380153034607	1.34299977403902	1.15502831587577	1.56156205720488
PPIA	0.000109592099740728	1.32947643988672	1.15084051891982	1.5358406096727
S100A10	0.00108554951478031	1.32708856827876	1.11989421271018	1.57261645615088
PSMC5	0.00151769676491734	1.32628120495083	1.11389023389858	1.57916981500889
ADIPOR2	8.1410716393481e-05	1.32174130413919	1.15049572778333	1.51847593422492
SEMA4B	0.000165905993171259	1.32112310635745	1.14287681867579	1.52716918711666
SEMA4B.1	0.000165905993171259	1.32112310635745	1.14287681867579	1.52716918711666
FURIN	6.44183718879071e-05	1.32051639904239	1.15218279336334	1.51344350061822
CTSL	5.0846780717816e-05	1.31720323305694	1.15284815963771	1.50498948423606
CTSL.1	5.0846780717816e-05	1.31720323305694	1.15284815963771	1.50498948423606
JAG1	0.000253690808875905	1.31598705078049	1.13596557982731	1.52453731748209
STC1	0.000365152347830667	1.30284201163201	1.12644525488005	1.50686178482246
TNFRSF1A	0.00121889441934831	1.29996705569368	1.10890082234537	1.52395445276581
TNFRSF1A.1	0.00121889441934831	1.29996705569368	1.10890082234537	1.52395445276581
RAC1	0.000317597682340759	1.29515831830989	1.12506867187919	1.49096238426539
RAC1.1	0.000317597682340759	1.29515831830989	1.12506867187919	1.49096238426539
RELA	0.0019624189918736	1.29409315937859	1.09921108279512	1.52352640121861
RELA.1	0.0019624189918736	1.29409315937859	1.09921108279512	1.52352640121861
RELA.2	0.0019624189918736	1.29409315937859	1.09921108279512	1.52352640121861
ACTG1	0.00136841418348885	1.2922104453631	1.1045086577162	1.51181054439009
IL1R2	5.023760067388e-05	1.28852354321332	1.13991758200125	1.45650259951265
IL1R2.1	5.023760067388e-05	1.28852354321332	1.13991758200125	1.45650259951265
LTBR	0.00117669735410074	1.28366388406922	1.10391730838947	1.49267789782885
RAET1E	0.000527487128501604	1.28206060127619	1.11402532264212	1.47544167258816
STC2	0.000993869785733754	1.27960634042221	1.10492064248198	1.48190949059533
F2RL1	0.00180162508172011	1.27922529422786	1.09594252032683	1.49315983552162
F2RL1.1	0.00180162508172011	1.27922529422786	1.09594252032683	1.49315983552162
PSMC4	0.00146787041326836	1.27786076461233	1.09868506703532	1.48625678343101
CACYBP	0.00069746860149669	1.27624985065348	1.10840430963759	1.4695122232298
S100A11	0.00504576110106386	1.27384685409524	1.07558328232971	1.50865659065806
INSL4	5.62491768146043e-05	1.27363237280975	1.13222161714272	1.43270486670501
HSP90AA1	0.00258286732132028	1.27245525971646	1.08788428064668	1.48834064135718
IL22RA1	0.000457006429277326	1.27166717546097	1.11174427341279	1.45459476951534
IL22RA1.1	0.000457006429277326	1.27166717546097	1.11174427341279	1.45459476951534
NTS	0.000424029947494548	1.27133551365658	1.11245896701271	1.4529021170324
FGF12	0.00030411418477612	1.26594358414916	1.1138793573188	1.43876726659704
PAK4	0.00261347571597874	1.26372010248015	1.08507130163155	1.47178208013719
PLAUR	0.00166116271271123	1.26092818217526	1.0912872728778	1.45693981788224
PLAUR.1	0.00166116271271123	1.26092818217526	1.0912872728778	1.45693981788224
RELB	0.00211063622015763	1.25747486413873	1.08658423209026	1.45524202104321
CCL20	0.00219847622775336	1.25117268341889	1.08399086966089	1.44413862473154
CCL20.1	0.00219847622775336	1.25117268341889	1.08399086966089	1.44413862473154
CCL20.2	0.00219847622775336	1.25117268341889	1.08399086966089	1.44413862473154
CCL20.3	0.00219847622775336	1.25117268341889	1.08399086966089	1.44413862473154
BMP1	0.00335547608070492	1.25020911652833	1.07690558882799	1.45140191606919
BMP1.1	0.00335547608070492	1.25020911652833	1.07690558882799	1.45140191606919
NEDD4	0.00176440334498425	1.25018950762353	1.08692050483533	1.43798354895214
TAP2	0.00299511834451645	1.24719647850599	1.0779234262584	1.44305153604191
OXTR	0.00154897785499087	1.24593237098664	1.08733877289484	1.42765760935717
PDGFB	0.00159300214278703	1.24576334358593	1.0869001743214	1.42784622257635
PAK2	0.00491009924335316	1.24505624853524	1.06871734435803	1.45049116139106
PSMC6	0.00175779161081704	1.24300675060298	1.08463751387755	1.42449967134273
HSPA2	0.000911172687112002	1.24230291705636	1.09280671301079	1.41225023542796
S100P	0.00508152079645162	1.24230254425563	1.0673633112645	1.44591405304691
IL11	0.00163862044564961	1.24225229772363	1.08535491332553	1.4218305480106
IL11.1	0.00163862044564961	1.24225229772363	1.08535491332553	1.4218305480106
PSME3	0.0027002478972276	1.2389882251467	1.07711822163316	1.42518415455326
LGR4	0.00451515563062289	1.23788746392198	1.06834920047024	1.43433006049025
OAS1	0.00492777662528786	1.23690370933455	1.06652566029234	1.43449974353755
SEMA3C	0.00453736606884252	1.23542350477224	1.06760399537047	1.42962300887052
SEMA3C.1	0.00453736606884252	1.23542350477224	1.06760399537047	1.42962300887052
SEMA7A	0.00470212831724897	1.23531914321016	1.06694775156378	1.43026065085649
SEMA7A.1	0.00470212831724897	1.23531914321016	1.06694775156378	1.43026065085649
PSMC1	0.00113795651573374	1.23429899996147	1.08731530206627	1.40115201028692
HNF4A	0.00409111463057786	1.23232540486233	1.06853899923039	1.42121710537741
TNFRSF11A	0.00769443334526886	1.23202626050383	1.05676559819884	1.43635325483547
TNFRSF11A.1	0.00769443334526886	1.23202626050383	1.05676559819884	1.43635325483547
PSMD14	0.00446515079140618	1.23141297295907	1.06680634659848	1.42141815598198
PSMC3	0.0172526258650443	1.23022764436063	1.03733961516067	1.45898222224424
PLSCR1	0.00311527266636382	1.22847090502601	1.07180166566945	1.40804107031576
PSMD1	0.00167516407645227	1.22546321395285	1.07951237189389	1.39114671387875
