Gene	Chr	Start	End	C1_logFC    	C2_logFC    	C3_logFC    
A2M	chr12	9067664	9116229	1.21671085	-0.597040679	-1.018038047
ABCA3	chr16	2275881	2340746	1.529854211	-1.43760527	-0.796931596
ABCA8	chr17	68867292	68955392	0.973437699	-0.735739213	-0.632979057
ABI3BP	chr3	100749156	100993515	1.496086457	-0.619021292	-1.332754486
ACKR1	chr1	159203307	159206500	1.771175383	-1.228996557	-1.228853263
ADAM8	chr10	133262403	133276868	0.588662438	0.585348958	-1.107392785
ADAMTS8	chr11	130404925	130428993	1.408074965	-0.994003984	-0.965004585
ADH1B	chr4	99304964	99321442	2.514140595	-1.844107402	-1.674292778
AGER	chr6	32180968	32184324	1.959928654	-1.604660498	-1.187714596
AIM2	chr1	159062484	159147096	0.627283083	1.327451186	-1.674975294
AKR1C1	chr10	4963253	5107522	-1.168442878	-1.187689092	2.216238836
AKR1C2	chr10	4922564	5135226	-1.959754062	-1.089396948	3.082306992
AKR1C3	chr10	5035354	5107686	-1.111989653	-0.781731212	1.863999978
AKR7A3	chr1	19282558	19289250	-1.112592293	-0.713736509	1.816889805
ALOX15	chr17	4630902	4642294	0.999597409	-0.828882607	-0.598385423
ALOX15B	chr17	8039017	8049134	1.472350489	-0.993075112	-1.041620969
ALPL	chr1	21509372	21578412	1.368284245	-1.080897122	-0.856864365
AMBP	chr9	114060127	114078472	-0.647403368	-1.004802672	1.471827297
ANXA1	chr9	73151757	73170393	0.735806349	0.824258892	-1.449324055
APOD	chr3	195568702	195584205	1.193182436	-0.723445211	-0.901327831
APOH	chr17	66212033	66256525	1.290279416	-0.618714555	-1.089740191
AQP1	chr7	30911855	30925516	1.73441021	-0.681045106	-1.570790997
AQP4	chr18	26852038	26865818	2.148340714	-1.694952381	-1.346882058
AREG	chr4	74445134	74455009	0.842308533	0.643232743	-1.447871829
ASCL1	chr12	102957686	102960516	-1.048553796	-0.991735702	1.93673071
ATP13A4	chr3	193402077	193593111	2.186048206	-1.05847322	-1.839097995
AURKA	chr20	56369389	56392337	-1.093484581	0.810995692	0.721924918
AURKB	chr17	8204733	8210600	-1.196844821	0.990607045	0.717754493
BIRC5	chr17	78214186	78225636	-1.210084152	1.187270549	0.595082786
BMP3	chr4	81030965	81057531	1.548295519	-0.757167612	-1.297295199
BPIFA1	chr20	33235995	33243311	-1.04536431	-1.793618924	2.496946013
BPIFA2	chr20	33161768	33181412	-0.7339765	-0.982248193	1.558279347
BUB1B	chr15	40161023	40221136	-0.984310663	0.821455581	0.585542621
C16orf89	chr16	5044122	5066110	2.235464472	-2.044894311	-1.203724982
C1orf116	chr1	207018521	207032756	1.635893755	-0.834215017	-1.346632498
C1orf189	chr1	154199372	154206333	0.890690177	-0.655961914	-0.591294506
C1QB	chr1	22652762	22661538	1.0167809	0.590800156	-1.617192271
C1QC	chr1	22643630	22648110	0.932281208	0.666991521	-1.570914864
C20orf85	chr20	58150904	58161150	1.790894258	-1.418352505	-1.118978899
C4BPA	chr1	207104262	207144972	1.78167584	-2.060882016	-0.656176993
C5orf38	chr5	2752131	2755397	1.386255597	-1.07919363	-0.879301652
C7	chr5	40909252	40982939	2.348172557	-1.498070626	-1.721522305
C9orf24	chr9	34379019	34397832	1.192845836	-0.858994717	-0.805594631
CA3	chr8	85373436	85449040	1.050191979	-0.611765671	-0.810883704
CACHD1	chr1	64470792	64693058	1.250853112	-0.78175691	-0.928472981
CALCA	chr11	14966668	14972354	-1.559552613	-1.379842335	2.813612371
CAPSL	chr5	35904295	35938779	1.072720498	-0.695871281	-0.778355101
CCL13	chr17	34356452	34358610	1.225981346	0.748582755	-1.975405239
CCNB1	chr5	69167010	69178245	-1.104117955	0.977089094	0.617674125
CD14	chr5	140631728	140633701	0.648448684	0.643797377	-1.219158534
CD163	chr12	7470813	7503893	0.964750424	0.641602763	-1.591431575
CD1C	chr1	158289786	158293630	1.857427083	-0.675593504	-1.720010932
CD1E	chr1	158353696	158357553	1.746147398	-0.718907107	-1.558033118
CD207	chr2	70830214	70835822	1.991631498	-0.824830694	-1.77365616
CD274	chr9	5450503	5470566	0.667987426	0.96355272	-1.46714213
CDC20	chr1	43358955	43363203	-1.236166753	1.170196627	0.637916646
